,Компания,Общая тема,Подтема,Заголовок,Новость
427,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Бенефициар,"Раскрыто, насколько богаче стали российские миллиардеры с начала года","…Самым богатым россиянином по-прежнему является один из главных собственников ""Норникеля"" Владимир Потанин – у него свыше тридцати миллиардов долларов. На втором месте совладелец ""Лукойла"" Вагит Алекперов, на третьем – бенефициар НЛМК Владимир Лисин. Также в рейтинге представлены россияне Леонид Михельсон, Алексей Мордашов, Алишер Усманов, Михаил Прохоров, Михаил Фридман, Геннадий Тимченко. …"
428,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Бенефициар,"Кому Первомай праздник: российские олигархи потрудились на славу и заработали еще 1,3 трлн рублей","…Его состояние с начала года выросло на 255 млн долларов, до 31,3 млрд долларов. Второе и третье место поделили совладелец компании ""Лукойл"" Вагит Алекперов (плюс 2,78 млрд долларов, до 27,4 млрд долларов) и бенефициар компании НЛМК Владимир Лисин (плюс 3,47 млрд, до 27,4 млрд долларов). В прошлом году российские олигархи разбогатели на 50 млрд долларов, то есть почти 5 трлн рублей, что сравнимо с дефицитом бюджета РФ за два года. …"
429,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Бенефициар,Состояние богатейших людей в России с начала года выросло почти на $15 млрд,"…Сегодня его капитал составляет 31,3 миллиарда долларов.Второе и третье места разделили Вагит Алекперов, совладелец ""Лукойла"", и Владимир Лисин, бенефициар НЛМК. У обоих теперь по 27,4 миллиарда долларов, причем Алекперов разбогател на 2,78 миллиарда, а Лисин – на 3,47 миллиарда.…"
430,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Бенефициар,Российские миллиардеры с начала года разбогатели почти на 15 млрд долларов,"…По состоянию на 1 мая он занимает 51 место из 500, его состояние насчитывает 31,3 млрд долларов, и с начала года оно выросло на 255 млн долларов. В тройке лидеров среди россиян также совладелец ""Лукойла"" Вагит Алекперов (+ 2,78 млрд долларов) и бенефициар компании НЛМК Владимир Лисин (+ 3,47 млрд долларов). Состояние каждого из них оценивается в 27,4 млрд долларов. …"
431,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Бенефициар,Да здравствует Труд!,"…Который, кстати, недавно преспокойно решил перенести свой медный завод в Китай, потому что ""так выгоднее"" (https://www.forbes.ru /sustainability/511073-prosaj-mednyj-za...). Второе и третье место поделили совладелец компании компании ""Лукойл"" Вагит Алекперов и бенефициар компании НЛМК Владимир Лисин. У обоих теперь по 27,4 миллиарда долларов, причем Алекперов разбогател на 2,78 миллиарда, а Лисин – на 3,47.…"
432,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Бенефициар,Российские миллиардеры стали еще богаче: Вагит Алекперов увеличил состояние почти на 3 млрд долларов,"…Самым богатым среди российских предпринимателей остался президент холдинга ""Интеррос"" и ГМК ""Норильский никель"" Владимир Потанин - его состояние с начала года выросло на 255 млн долларов, до 31,3 млрд долларов. Второе и третье место поделили совладелец компании ""Лукойл"" Вагит Алекперов (плюс 2,78 млрд долларов, до 27,4 млрд долларов) и бенефициар компании НЛМК Владимир Лисин (плюс 3,47 млрд, до 27,4 млрд долларов). Рейтинг BBI включает в себя 500 самых обеспеченных людей мира. …"
433,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Депозитарий,Yandex N.V. ждет основателя,"…Сумма сделки составляет почти 500 млрд руб. В числе новых владельцев компании менеджеры ""Яндекса"", структуры основателя венчурного фонда Leta Capital Александра Чачавы, главы депозитария ""Инфинитум"" Павла Прасса, группы ЛУКОЙЛ и бизнесмена Александра Рязанова. Первый этап сделки нидерландская компания должна была завершить во вторник. …"
434,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Депозитарий,"Yandex раскрыла, как поменяет схему управления и вернет Воложа","…Сумма сделки составит 475 млрд руб. и учитывает дисконт в размере не менее 50% от рыночной стоимости, согласно требованию комиссии по контролю за иностранными инвестициями. Покупателем является ЗПИФ ""Консорциум.Первый"", пайщики которого – менеджеры ""Яндекса"", а также структуры основателя венчурного фонда Leta Capital Александра Чачавы, главы депозитария ""Инфинитум"" Павла Прасса, группы ЛУКОЙЛ и предпринимателя Александра Рязанова. В начале марта акционеры Yandex N.V. одобрили продажу бизнеса в России. …"
435,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Депозитарий,"Yandex раскрыла, как поменяет схему управления и вернет Воложа","…РБК Покупателем является ЗПИФ ""Консорциум.Первый"", пайщики которого – менеджеры ""Яндекса"", а также структуры основателя венчурного фонда Leta Capital Александра Чачавы, главы депозитария ""Инфинитум"" Павла Прасса, группы ЛУКОЙЛ и предпринимателя Александра Рязанова.РБК 5 февраля Yandex N.V. объявила, что договорилась продать российский бизнес консорциуму инвесторов.…"
436,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Депозитарий,"Yandex раскрыла, как поменяет схему управления и вернет Воложа","… Покупателем является ЗПИФ ""Консорциум.Первый"", пайщики которого – менеджеры ""Яндекса"", а также структуры основателя венчурного фонда Leta Capital Александра Чачавы, главы депозитария ""Инфинитум"" Павла Прасса, группы ЛУКОЙЛ и предпринимателя Александра Рязанова.РБК 3 июня 2022 года, буквально через полчаса после наложения санкций ЕС компания объявила, что Волож ушел со всех постов в ""Яндексе"".…"
437,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Депозитарий,Аркадий Волож может вернуться к управлению акциями Yandex N.V,"…Ведомости Покупателем является ЗПИФ ""Консорциум.Первый"", пайщики которого – менеджеры ""Яндекса"", а также структуры основателя венчурного фонда Leta Capital Александра Чачавы, главы депозитария ""Инфинитум"" Павла Прасса, группы ЛУКОЙЛ и предпринимателя Александра Рязанова.РБК …"
438,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Рынок акций РФ начал неделю с умеренного снижения по индексу МосБиржи на укреплении рубля, вырос ""Полюс""","…Советы директоров ПАО ""Россети Волга"" (+3,2%) и ПАО ""Россети Центр и Приволжье"" (+2,6%) 8 мая дадут рекомендации по дивидендам за 2023 год, на заседаниях также будут установлены даты отсечек под выплаты.Суммарный объем торгов акциями из расчета индекса МосБиржи за день составил 68,47 млрд рублей (из них 17,45 млрд рублей пришлось на акции ""ЛУКОЙЛа"", 6,29 млрд рублей на бумаги ""ТКС Холдинг"" и 5,04 млрд рублей на обыкновенные акции Сбербанка). …"
439,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Рынок акций РФ просел ниже 3430п по индексу МосБиржи на отсечке ЛУКОЙЛа, выросла Транснефть (версия 2)","…Выросли акции банка ""Уралсиб"" (MOEX: USBN) (+9,6%), МКФ ""Красный Октябрь"" (MOEX: KROT) (+4,4% и +9,8% ""префы""), ПАО ""Дальневосточное морское пароходство"" (MOEX: FESH) (+3,8%), ПАО ""Центр международной торговли"" (MOEX: WTCM) (+3,5%), ПАО ""Нижнекамскшина"" (MOEX: NKSH) (+3,1%), ПАО ""РКК ""Энергия"" (MOEX: RKKE) (+3%), банка ""Санкт-Петербург"" (+2,9%).Суммарный объем торгов акциями из расчета индекса МосБиржи за день составил 62,22 млрд рублей (из них 17,9 млрд рублей пришлось на акции ""ЛУКОЙЛа"", 5,59 млрд рублей на ""префы"" ""Транснефти"" и 4,44 млрд рублей на обыкновенные акции Сбербанка).Рк вч ца…"
440,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Рынок акций РФ утром просел на отсечке ""ЛУКОЙЛа"", выросла ""Транснефть"" на дивидендных новостях","…Выросли акции МКФ ""Красный Октябрь"" (MOEX: KROT) (+4,8% и +9,8% ""префы""), ""Русснефти"" (MOEX: RNFT) (+3,9%), банка ""Санкт-Петербург"" (MOEX: BSPB) (+2,6%), ""Юнипро"" (MOEX: UPRO) (+2,4%).Суммарный объем торгов акциями из расчета индекса МосБиржи к 11:00 МСК составил 22,23 млрд рублей (из них 10,97 млрд рублей пришлось на акции ""ЛУКОЙЛа"", 2,01 млрд рублей на ""префы"" ""Транснефти"" и 1,38 млрд рублей на акции ""ТКС Холдинг"").рк аш тв…"
441,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Рынок акций РФ днем консолидируется у 3420п по индексу МосБиржи, упал ЛУКОЙЛ, выросла Транснефть","…Выросли акции МКФ ""Красный Октябрь"" (MOEX: KROT) (+4,4% и +9,8% ""префы""), ПАО ""ТНС Энерго Ростов-на-Дону"" (MOEX: RTSB) (+3,1%), ""Русснефти"" (MOEX: RNFT) (+2,8%), ""Юнипро"" (MOEX: UPRO) (+2,5%), ПАО ""Новороссийский комбинат хлебопродуктов"" (MOEX: NKHP) (+2,5%), банка ""Санкт-Петербург"" (MOEX: BSPB) (+2%).Суммарный объем торгов акциями из расчета индекса МосБиржи к 13:00 МСК составил 35,23 млрд рублей (из них 13,84 млрд рублей пришлось на акции ""ЛУКОЙЛа"", 2,92 млрд рублей на ""префы"" ""Транснефти"" и 2,18 млрд рублей на акции ""ТКС Холдинг"").рк аш…"
442,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,Рубль в начале недели продолжил расти на фоне новостей об операциях ЦБ РФ на рынке,"…""В первую очередь на динамику курса отечественной валюты РФ повлияют экспортеры. Так, ""Лукойл"" выплатит дивиденды до 22 мая на общую сумму 345 миллиардов рублей. В свете этого фактора курс рубля, вероятно, останется вблизи текущих уровней до конца мая и в целом российская валюта будет сильнее, чем в первом квартале. …"
443,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"""БКС МИ"" снизил оценку акций ЛУКОЙЛа после дивидендной отсечки","…""Позитивный"" взгляд на эти бумаги аналитиками был подтвержден.Акционеры ""ЛУКОЙЛа"" утвердили решение о выплате финальных дивидендов за 2023 год в размере 498 рублей на одну обыкновенную акцию. С учетом ранее выплаченных промежуточных дивидендов ( 447 руб. /ао) размер итоговых дивидендов за 2023 год составил 945 руб. /ао (за 2022 год - 694 руб. /ао).…"
444,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,Эмитенты поощряют акционеров,"…В конце апреля советы директоров сразу нескольких крупных эмитентов обнародовали свои рекомендации по дивидендам. В частности, по обыкновенным и привилегированным акциям Сбербанка дивиденды предложены в размере 33,3 руб., по обыкновенным и привилегированным акциям ""Татнефти"" – 25,17 руб., по обыкновенным акциям МТС – 35 руб., по обыкновенным акциям ЛУКОЙЛа (причем акционеры уже утвердили их) – 498 руб. После двухлетнего перерыва вернулась к практике выплат и ""Северсталь"", причем совет директоров рекомендовал дивиденды и за 2023 год ( 191,51 руб. на акцию), и за первый квартал 2024-го (фактически вернувшись к регулярным выплатам) – 38,3 руб. на акцию. …"
445,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Акции ЛУКОЙЛа на Мосбирже упали на 5,6% из-за дивидендного гэпа","…Компания не публиковала результаты по МСФО за 2022 год, но в 2021 году эти показатели составили ₽9,4 трлн и ₽775 млрд соответственно. В конце апреля ЛУКОЙЛ опубликовал финансовые результаты по РСБУ за первый квартал. Чистая прибыль упала на 13,8% год к году и составила ₽89,9 млрд. …"
446,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"РБК ТВ. День. Сюжет 1 07.05.2024, 10:10 ( 00:21:28)","…А индекс Мосбиржи, например, сегодня инаугурация, и казалось бы, индекс Мосбиржи должен укрепляться, должен ползти вверх, и вроде бы все для этого складывается. Но сегодня Г по акциям Лукойла минус на пять процентов по нефтяному нашим гиганту, по его бумагам сразу, потому что выплачивать дивиденды вчера была течка. И собственно, этот тяжеловес, который во второй по капитализации биржи входят, тянет весь индекс вниз, минус примерно сорок девять сотых по индексу Мосбиржи по абсолютным значениям три тысячи четыреста двадцать один пункт, что показывает валюта российская в преддверии инаугурации? …"
447,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,Консолидация продолжается. Рынок ждет восстановление,"…Котировки акций ЛУКОЙЛа сегодня снизятся в начале торгов на фоне дивидендной отсечки: учитывая размер дивидендов, акции могут подешеветь на 5,4%. Принимая также во внимание тот факт, что вес акций ЛУКОЙЛа превышает 15% в структуре индекса Мосбиржи, то индекс широкого рынка технически может снизиться на 0,8% в начале торгов.Наталия Пырьева аналитик ""Цифра Брокер"" …"
448,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,Рынок акций РФ начал неделю с умеренного снижения по индексу МосБиржи,"…Во вторник с ""гэпом"" примерно в 6% начнут торги акции ""ЛУКОЙЛа"", перспективы которых на ближайшие месяцы, впрочем, при прочих равных можно назвать умеренно оптимистичными при условии сохранения высоких мировых цен на нефть и неспособности стран ""семерки"" установить более тщательный контроль за соблюдением потолка цен. ""ЛУКОЙЛ"" в прошлом году выплатил промежуточные дивиденды за 9 месяцев, надежда на которые наверняка будет поддерживать акции во II полугодии текущего года, считает Кожухова. Зарубежные рынки …"
449,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Пост Vladislav _ Kofanov в Профите, про ROSN, TATN, SIBN, LKOH, SNGSP, GAZP, 07 мая, 04:12 мск","…Выплата демпфера в апреле 2024 г. намного выше 2023 г. – 107₽ млрд, данная статья откровенно влияет на выплаты дивидендов от нефтяников (смотрю и радуюсь на ЛУКОЙЛ, Роснефть в своем портфеле). На сегодняшний день нефтяники себя чувствуют вполне комфортно ( Лукойл, Роснефть, Татнефть, Газпромнефть и т.д.), даже с учетом увеличения НДПИ (налоговый маневр). Данные за апрель были интересны и тем, что Россия дополнительно (к уже действующему сокращению на 500 тыс. б/с до конца 2024 г.) сократила добычу нефти, и ее экспорта совокупно на 471 тыс. б/с во II кв. 2024 г. (добыча РФ в июне составит 8,979 млн б/с), как вы можете заметить, пока что нефтяники проходят безболезненно данный период. …"
450,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Пост Vladislav _ Kofanov в Профите, про LKOH, ELFV, YNDX, 07 мая, 11:06 мск","…Помимо этого, ЛУКОЙЛ не смог выплатить нерезидентам – 191,2₽ млрд дивидендов. Данные средства просто зависли и не проходят из-за санкций, самое интересное начнется, приятный бонус в 191,2₽ млрд. ЛУКОЙЛ продолжает инвестировать в другие проекты: примет участие в сделке по приобретению доли в Яндексе (~10%), увеличил свою долю в ЭЛ5-Энерго до 63,84% и перебирается в Казахстан из-за санкций, где получит 50% в экспортном проекте на шельфе Каспийского моря. Будущая отчетность по МСФО приоткроет фин. показатели эмитента, но уже сейчас видно по отчетам НГД, что дела у нефтяников идут хорошо, а демпферные выплаты растут – 187,2₽ млрд (+75% г/г). …"
451,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,Как быстро закроется майский дивидендный гэп ЛУКОЙЛа,…Это означало бы сокращение предполагаемой корректировки FCF и увеличение коэффициента выплаты дивидендов по отношению к свободному денежному потоку.• Близость к историческому максимуму создает риски более длительного закрытия дивгэпа в акциях ЛУКОЙЛа. Вместе с тем ожидаемая просадка примерно на 500 руб. не будет означать гарантированного слома позитивной долгосрочной технической картины в этих бумагах.…
452,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,ЛУКОЙЛ: какой потенциал у акций компании,"…ЗаключениеЛУКОЙЛ на данный момент – однозначно одна из самых перспективных идей на рынке, и дивиденды в данном случае являются далеко не самым важным фактором. Среднесрочно в фокусе будет именно обратный выкуп у нерезидентов, который фактически будет являться вариацией выгодного для инвесторов-резидентов байбэка акций с существенной ""скидкой"" от 50% к рыночной цене акций.…"
453,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Пост Profit _official в Профите, про SNGSP, CHMF, TATN, LKOH, SIBN, BANEP, MTSS, SBER, FLOT, MGNT, GEMC, MDMG, 02 мая, 16:42 мск","…ДД может составить ~16%. ▫️ $ ( 107 руб /акц | объявлены финальные дивиденды за 2023 г. 25,17 руб. на акцию, купить до 03.07.24), $ ( 1003 руб /акц | объявлены дивиденды за 2023 г. 498 руб. на акцию, купить до 06.05.2024), $ ( 95 руб /акц), $ ( 261 руб /акц) По мнению @ Vladimir _ Litvinov, благодаря высоким ценам на нефть марки Brent и умеренному дисконту Urals, а также высокому курсу рубля, нефтяники продолжат получать дополнительный доход, который позволит им (в первую очередь Газпромнефти, Лукойлу, Татнефти и Башнефти) выплачивать щедрые дивиденды в 2024 году. @invest_or_lost особенно выделяет две нефтяные компании: Газпромнефть, которая способна выплатить финальные дивиденды за 2023 г. в размере 20+ руб/акц, и Лукойл. А @ MrTINWIS основную ставку делает на Башнефть-ап, по которым ожидается 250 руб. гарантированного дивиденда, но сохраняется интрига об увеличенном пэйауте. ▫️ $ (объявлены дивиденды за 2023 г. 35 руб /акц, купить до 15.07.204) ""По итогам 2023 г. СД МТС рекомендовал выплатить 35 руб /акц, утвердив при этом новую див. политику на 2024-2026 гг., которая теперь установит целевую дивидендную доходность в размере не менее 35,0 руб /акц в течение каждого календарного года,"" – отмечает @invest_or_lost. ▫️ $ (объявлены дивиденды за 2023 г. 33,3 руб /акц, купить до 10.07.24) @ Zvyagintsev _ Invest последние 2 года активно закупается акциями Сбера и ждет от них самые большие дивиденды. …"
454,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,ЛУКОЙЛ – 6 мая последний день с дивидендами,"…Дата закрытия реестра под дивиденды: 07.05.2024 Последняя возможность купить с учетом Т+1: 06.05.2024Акционеры ЛУКОЙЛа утвердили выплату финальных дивидендов за 2023 г. в размере 498 руб. на одну акцию.Дата, на которую определяются лица, имеющие право на получение дивидендов по акциям: 7 мая 2024 г.…"
455,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Старт дня. Коррекция в индексе, отсечка БСП и дивиденды КМЗ","…В лидерах роста РуссНефть, Черкизово и Polymetal.В лидерах падения БСП, Ренессанс и ЛУКОЙЛ. Акции Банка Санкт-Петербург снижаются на фоне закрытия реестра акционеров для получения дивидендов за 2023 г. Напомним, что банк выплатит 23,37 рублей на одну обыкновенную акцию и 0,22 рубля на одну привилегированную.…"
456,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Пост Vesperfin в Профите, про LKOH, 06 мая, 08:42 мск","…Таким образом, за 1- 2 месяца акции могут принести более 10% дохода с учетом дивидендов. Держите Лукойл? Или заработали на росте цены и закрыли позицию? $ …"
457,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Дивиденды,"Пост BirjevoiMakler в Профите, про BSPB, 06 мая, 18:23 мск","…Если присутствует хороший растущий тренд, то лучше заранее быть в акциях, поскольку на открытии после дивидендного разрыва вероятно их будут также откупать Если тренд направлен вниз, то лучше покупать уже после закрытия реестра и возможно даже стоит подождать несколько дней. По статистике по таким активам часто бывает дальнейшее снижение цены какое-то время Какие факторы влияют на скорость закрытия дивгэпа: ✴Растущий тренд на рынках ✴Будущие дивиденды не меньше текущих ✴Размер ценового разрыва Если все три фактора дают положительный эффект, то вероятность быстрого закрытия значительно возрастает Последний день с дивидендом 6 мая • Лукойл $ LKOH • 498₽ • 6.28% 24 мая • НЛМК $ NLMK • 25.43₽ • 10.54% 17 июня • Северсталь $ CHMF • 229.81₽ • 12.09% 15 июля • МТС $ MTSS • 35₽ • 11.36% *Обозначенные дивиденды рекомендованы Советом Директоров упомянутых компаний, но не утверждены акционерами, кроме Лукойла ⏏️Все полезные информационные источники - в посте на Канале …"
458,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Инвестиции,"FID по проекту ""Каламкас-море, Хазар"" в Казахстане с участием ЛУКОЙЛа ожидается в 2025г - КМГ","…Ранее стоимость освоения месторождений оценивалась примерно в $5 млрд.Отмечается, что в 2023 году ТОО Kalamkas-Khazar Operating ( держатель контракта на добычу углеводородов на участках проекта, контролируемый на паритетной основе КМГ и ""ЛУКОЙЛом"") выполнил опережающие работы для ускорения реализации проекта. Речь идет об инженерно-геологических изысканиях на море и на суше, производственно-экологическом мониторинге, а также о переобработке интерпретации 3D-сейсмики.…"
459,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Инвестиции,"Аркадий Волож сможет вернуться к управлению ""суперголосующими"" акциями Yandex N.V.","…И, как указано в документе, согласно условиям работы траста, его доверительный управляющий может голосовать акциями семейного траста по всем предложенным вопросам в соответствии с рекомендациями независимых членов совета директоров Yandex N.V. Акционеры Yandex N.V. 7 марта одобрили продажу российского бизнеса консорциуму инвесторов, в который вошли структуры менеджеров ""Яндекса"", нефтяной компании ""Лукойл"" и трех частных инвесторов. И через неделю, 13 марта, с Воложа были сняты европейские санкции. …"
460,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Инвестиции,"Пост Vladislav _ Kofanov в Профите, про LKOH, ELFV, YNDX, 07 мая, 11:06 мск","…Помимо этого, ЛУКОЙЛ не смог выплатить нерезидентам – 191,2₽ млрд дивидендов. Данные средства просто зависли и не проходят из-за санкций, самое интересное начнется, приятный бонус в 191,2₽ млрд. ЛУКОЙЛ продолжает инвестировать в другие проекты: примет участие в сделке по приобретению доли в Яндексе (~10%), увеличил свою долю в ЭЛ5-Энерго до 63,84% и перебирается в Казахстан из-за санкций, где получит 50% в экспортном проекте на шельфе Каспийского моря. Будущая отчетность по МСФО приоткроет фин. показатели эмитента, но уже сейчас видно по отчетам НГД, что дела у нефтяников идут хорошо, а демпферные выплаты растут – 187,2₽ млрд (+75% г/г). …"
461,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Инвестиции,ЛУКОЙЛ: какой потенциал у акций компании,"…ЗаключениеЛУКОЙЛ на данный момент – однозначно одна из самых перспективных идей на рынке, и дивиденды в данном случае являются далеко не самым важным фактором. Среднесрочно в фокусе будет именно обратный выкуп у нерезидентов, который фактически будет являться вариацией выгодного для инвесторов-резидентов байбэка акций с существенной ""скидкой"" от 50% к рыночной цене акций.…"
462,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Инвестиции,АЗС Shell в Ростовской области поменяют вывеску,"…Напомним, до недавнего времени ""Аякс"" был франчайзи ""Шелл Нефть"" - российской ""дочки"" британо-нидерландской компании, владеющей в нашей стране 411 фирменными АЗС и заводом смазочных материалов в Тверской области. В мае 2022 года Shell ушла из России, а ее бизнес выкупила компания ""Лукойл"". В Ростовской области ""Аякс"" принадлежит 39 автозаправок. …"
463,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Инвестиции,Yandex вернет Аркадия Воложа к управлению,"…По состоянию на 15 февраля 2024 акциями класса ""В"" было представлено 45,1 % голосов и 8,53 % экономического интереса Yandex N.V. Вместе с акциями директоров, сотрудников и ранних акционеров Yandex N.V., ставших владельцами бумаг до IPO в 2011 году, это позволяет контролировать примерно 51 % голосов компании. 7 марта 2024 года российский бизнес Yandex N.V. был продан консорциуму инвесторов, среди которых менеджеры ""Яндекса"", структуры нефтяной компании ""Лукойл"" и несколько частных инвесторов. Буквально через неделю с Воложа были сняты европейские санкции, и теперь компания ожидает, что Волож вернется к управлению акциями своего семейного фонда. …"
464,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Инвестиции,"Forbes: Аркадий Волож может вернуться к управлению ""суперголосующими"" акциями нидерландской Yandex NV","…Также в документе указано, что, согласно условиям работы траста, доверительная управляющая компания может голосовать акциями семейного траста по всем предложенным вопросам в соответствии с рекомендациями независимых членов совета директоров Yandex NV. 7 марта 2024 года акционеры Yandex NV одобрили продажу российского бизнеса консорциуму инвесторов, куда вошли структуры менеджеров ""Яндекса"", нефтяной компании ""Лукойл"" и трех частных инвесторов. Закрытие сделки пройдет в два этапа. …"
465,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Инвестиции,Аналитики ждут минимальных дивидендов ЛУКОЙЛа в 2024 году,"…Но ясно, что компания нарастила показатели на фоне высоких цен на нефть и падения рубля. Дивидендная политика компании предусматривает выплату дивидендов дважды в год. Акционерам должно распределяться не менее 100% скорректированного свободного денежного потока. https://iadevon.ru/ …"
466,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Инвестиции,Yandex вернет Аркадия Воложа к управлению,"…Тогда же миллиардер отошел от управления семейным трастом по голосованию акциями Yandex N.V., передав доверительному управляющему возможность голосовать в соответствии с рекомендациями независимых членов совета директоров Yandex N.V. 7 марта акционеры Yandex N.V. одобрили продажу российского бизнеса консорциуму инвесторов, в который вошли структуры менеджеров ""Яндекса"", нефтяной компании ""Лукойл"" и трех частных инвесторов. Через неделю с Воложа были сняты европейские санкции. …"
467,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Инвестиции,Партнерство на Каспии обретает реальные очертания,"…Опыт работы на Каспии, компетенции и реноме надежного партнера российской компании говорят сами за себя. Для КМГ же это хорошая альтернатива из числа инопартнеров: в отличие западных добывающих мейджоров, давно поделивших казахстанский нефтегаз, ЛУКОЙЛ смотрится честным и равноправным, а не направленным на максимальную выкачку на продажу всего что булькает любой ценой.Вместе с многосторонним нефтетранспортным проектом КТК это однозначно послужит большей экономической, да и политической устойчивости республики. …"
468,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Реализация нефтепродуктов,Пропавшую 10 дней назад 49-летнюю женщину начали искать в лесополосе под Пермью,"…После этого мы не общались, и она мне не отвечала"", - рассказала ""Комсомолке"" дочь Светланы.Поисковый отряд ""ПрикамьеПоиск"" на своей странице во ""ВКонтакте"" обратился за помощью к пермякам, которые проезжали по Восточному обходу от ул. Цимлянская, 50а ( АЗС ЛУКОЙЛ) до Чусовского моста 24 апреля с 19:00 до 21:00. Волонтерам для продолжения поиска потребовались записи с видеорегистраторов.…"
469,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Реализация нефтепродуктов,"Для поиска пропавшей пермячки, волонтеры просят просмотреть видеорегистраторы","…Волонтеры ""ПрикамьеПоиск"" обратились к автовладельцам с видеорегистраторами.""Если вы проезжали по Восточному обходу от улицы Цимлянская, 50а ( АЗС Лукойл) до Чусовского моста 24 апреля с 19:00 до 21:00, то нам очень нужна ваша помощь"".Позвонить можно по телефону 8 922 34567 02 или 112.…"
470,"ПАО ""ЛУКОЙЛ""",Деловая тематика,Реализация нефтепродуктов,В Перми пропавшую при странных обстоятельствах женщину нашли мертвой,"…По словам дочери Светланы, исчезновение женщины выглядит очень странно.Позже поисковый отряд ""ПрикамьеПоиск"" в соцсетях обратился за помощью к автомобилистам, которые проезжали по Восточному обходу от улицы Цимлянская, 50а ( АЗС ЛУКОЙЛ) до Чусовского моста 24 апреля с 19:00 до 21:00. Волонтерам для поиска требовались записи с видеорегистраторов. …"
